geoid10,avgtvioevt2018,avgtprpevt2018,rtavgtvioevt2018,rtavgtprpevt2018,tpop15,tpden15,condis15,tblack15,tasian15,tlatino15,twhite15,tothrac15,tethhet15,timm15,tage1529,tkids15,tsngpar15,tavghhinc15,tpov15,tpov12515,tunemp15,tedbach15,towner15,tavgval15,tmdval15,tavrent15,tmdrent15,trentburden15,tsfu15,tsmhse15,tvac15,propretail_emp15,propoffice_emp15,propother_emp15,propind_emp15,propent_emp15,propfoodetc_emp15,propedu_emp15,totjobs15,toxconc15,cscore15,ncscore15
17019005300,29.33333396912,199,53.35273361,361.9497986,5862,3241.7668,9.9547319,25.059706,33.998634,4.6741729,33.520981,2.7465029,70.630562,37.20573,73.780281,13.054187,2.9556651,26980.123,53.936317,56.263123,8.8999643,38.31926,17.892563,108586.6,85700,800.1015,646,65.571426,23.68421,54.981236,13.940254,.019359564,.013708665,.80211383,.10914609,.022394307,.022708246,.010569276,9556,750.59302,820.98798,126.986
17019005401,23.33333396912,150.666671753,56.66181183,365.8734131,3908,2107.6968,9.2005119,20.752304,4.580348,12.308085,59.186287,3.1729784,58.837891,10.030706,38.958546,52.832512,38.916256,39225.672,29.170984,31.865286,3.7567778,32.794556,29.787233,157761.91,127500,602.16071,738,57.929039,28.35821,81.258194,12.313431,.10335037,.031232255,.22714368,.40545145,.023850085,.18682566,.022146508,1761,3478.6001,1679.51,90.148499
17019005500,10.33333301545,245,20.03748894,475.0823975,5328,1367.5914,-3.0960648,18.093092,7.7890387,5.0300303,64.714714,4.3731232,53.795517,7.2447448,22.12838,39.780735,12.529366,81233.352,15.375278,21.565851,5.7924662,39.086979,71.031021,135125.23,100900,607.58063,837,52.903225,73.692131,79.28994,17.500938,.078666665,.034666665,.60053331,.26053333,0,.0055999998,.02,3750,2256.24,2629.78,127.375
17019005701,16.33333206177,133.6666564942,32.38170624,265.0013123,4636,4599.0977,-3.9876523,16.695427,10.418465,4.6160483,65.660057,2.6100087,52.733555,14.754098,24.644091,42.003513,17.398945,75790.164,17.126833,25,8.7594137,61.462391,56.783466,173747.63,165400,585.55096,744,50.693707,53.116634,79.747383,14.875717,.3444227,.10176125,.29354209,.025440313,0,.10176125,.13307241,511,529.72601,440.54999,86.822304
17019005702,6.66666650773,51.6666641236,39.23876572,304.1004333,3404,508.51852,-4.3164945,16.745005,12.779084,.7638073,66.891891,2.8202114,50.732376,15.423032,34.136311,26.388889,8.333333,74366.023,20.474869,21.862473,1.0888252,54.104637,44.401543,202127.97,192400,1008.648,956,59.924625,33.212341,67.032967,5.9891129,.0044943821,.18426967,.60000002,0,.020224718,.19101124,0,445,287.42999,310.742,67.459198
17019005800,8,94.666671753,20.89864159,247.3005981,4013,7223.29,-6.2934375,3.688014,14.976327,5.6815348,72.065788,3.5883379,45.234741,21.903812,50.137054,46.319019,12.730062,82068.5,29.984505,35.278927,3.3446231,78.982407,52.688862,221874.84,208800,967.659,947,70.703766,56.163628,73.868469,13.653954,.0041095889,.27123287,.14520548,0,0,.071232878,.50821918,730,760,860.06097,123.753
17019006000,0,3.3333332539,0,9.749439199999999,3564,823.22327,-1.4874018,11.083053,34.904602,7.154882,42.059483,4.7979798,68.156212,31.677891,103.54939,62.121212,4.0404038,48007.391,39.655174,46.630093,9.8242807,90.652176,4.347826,,,705.05359,772,58.833923,5.8375635,23.472578,12.436546,0,0,0,1,0,0,0,4,314.98999,248.681,64.003098
17019011100,15.33333396912,162.3333435059,67.60729218,715.7554932,2202,5234.2734,5.3599687,5.0408721,39.509537,8.673933,41.871025,4.9046321,65.611107,44.459583,79.632156,25.833334,18.333334,34617.719,49.341488,51.317028,12.723373,72.621567,7.836153,175522.73,207700,850.43475,894,66.746986,12.568306,56.107567,12.334114,.21721028,.23664123,.10687023,.11727966,.027758501,.22970159,.064538516,1441,938.11902,385.67999,49.124401
17031010100,43.0000038147,132.3333282471,92.59259796000001,284.9554749,4444,30204.777,6.9050889,46.332134,.74257427,9.2259226,38.838882,4.860486,62.355812,17.259226,20.072008,45.753113,30.351076,50718.551,36.763004,38.520229,8.0657492,35.800892,16.192171,262975.28,250000,799.83508,865,49.311928,3.1607008,78.40728,14.394516,.063679248,.07311321,.85377359,0,0,.0094339624,0,424,13326.7,8472.1299,135.674
17031010201,32,147,42.73504257,196.3141022,7197,36949.883,4.5652313,38.557732,1.6812561,22.606642,30.804502,6.3498683,70.101761,37.654579,19.007919,47.069942,14.870826,57921.387,33.217319,37.630516,8.0787306,29.815615,29.250937,178376.44,150500,916.7821,989,63.631348,7.6820307,68.026634,10.82164,.051546391,.10824742,.092783503,.036082473,0,.39175257,.31958762,194,13778.6,13566.7,224.806
